skillId,name,element,selector,effects,cd,rageGain,learnLv,isUlt
28,紫电穿林,1,enemy_one,PhysDamage|2.3|0|0|1|2|0,0,0,40,true
29,狼爪,1,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
30,掣雷撕咬,1,enemy_one,PhysDamage|1.65|0|0|1|1|0;ApplyBuff|0|14|2|1|0|1,2,0,1,false
31,啸月,1,enemy_all,RageModify|-20|0|0|1|0|0;RageModify|40|0|0|1|0|1,4,0,30,false
32,雷霆狼啸,1,enemy_one,PhysDamage|2.5|0|0|1|1|0;ApplyBuff|0|6|1|1|0|0,0,0,45,true
33,水针,3,enemy_one,MagDamage|1.0|0|0|1|1|0,0,30,1,false
34,凝冰,3,enemy_one,MagDamage|0.9|0|0|1|1|0;ApplyBuff|0|4|1|0.9|0|0,3,0,1,false
35,寒潮,3,enemy_all,MagDamage|1.1|0|0|1|1|0;ApplyBuff|0|9|2|0.8|0|0,3,0,25,false
36,玄冰封川,3,enemy_random,MagDamage|1.8|0|0|1|2|0;ApplyBuff|0|4|1|0.7|0|0,0,0,40,true
37,霜风,3,enemy_one,MagDamage|1.0|0|0|1|1|0,0,30,1,false
38,雪崩咒,3,enemy_one,MagDamage|1.7|0|0|1|1|0,2,0,1,false
39,噬魂雪,3,enemy_one,MagDamage|1.3|0|0|1|1|0;ApplyBuff|0|10|1|0.9|0|0,3,0,30,false
40,千里冰封,3,enemy_all,MagDamage|2.7|0|0|1|1|0;ApplyBuff|0|4|1|0.4|0|0,0,0,45,true
41,石锤,0,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
42,缩壳,0,self,Shield|1.5|0|0|1|0|1;ApplyBuff|0|18|2|1|0|1,3,0,1,false
43,震地,0,enemy_all,PhysDamage|1.1|0|0|1|1|0;ApplyBuff|0|9|2|0.8|0|0,3,0,25,false
44,不动如山,0,ally_all,Shield|1.3|0|0|1|0|0;Taunt|2|0|0|1|0|1,0,0,40,true
45,扑咬,0,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
46,震慑吠,0,enemy_one,ApplyBuff|0|8|2|1|0|0,2,0,1,false
47,地听,0,ally_all,CaptureBonus|0.1|0|0|1|0|0;ApplyBuff|0|18|2|1|0|0,3,0,25,false
48,大地共鸣,5,enemy_all,MagDamage|1.5|0|0|1|1|0;ApplyBuff|0|18|2|1|0|0,0,0,40,true
